VideoNumber,SubjID,TargID,ListID,ListNumb,GroundType,ChangeType,TargetResponse,ParticipantResponse,IsResponseCorrect
7,S40R,Targ6,L3_NCG,L3,NCG,Goal,no,no,1
8,S40R,Targ4,L3_NCG,L3,NCG,Match,yes,no,0
9,S40R,Targ12,L3_NCG,L3,NCG,Goal,no,no,1
10,S40R,Targ8,L3_NCG,L3,NCG,Source,no,yes,0
11,S40R,Targ18,L3_NCG,L3,NCG,Goal,no,no,1
12,S40R,Targ11,L3_NCG,L3,NCG,Source,no,no,1
13,S40R,Targ14,L3_NCG,L3,NCG,Source,no,no,1
14,S40R,Targ16,L3_NCG,L3,NCG,Match,yes,no,0
15,S40R,Targ1,L3_NCG,L3,NCG,Match,yes,yes,1
16,S40R,Targ9,L3_NCG,L3,NCG,Goal,no,yes,0
17,S40R,Targ3,L3_NCG,L3,NCG,Goal,no,no,1
18,S40R,Targ10,L3_NCG,L3,NCG,Match,yes,yes,1
1,S41R,Targ13,L1_NCG,L1,NCG,Source,no,yes,0
2,S41R,Targ2,L1_NCG,L1,NCG,Goal,no,yes,0
3,S41R,Targ17,L1_NCG,L1,NCG,Goal,no,no,1
4,S41R,Targ7,L1_NCG,L1,NCG,Source,no,no,1
5,S41R,Targ5,L1_NCG,L1,NCG,Goal,no,no,1
6,S41R,Targ15,L1_NCG,L1,NCG,Match,yes,yes,1
7,S41R,Targ6,L1_NCG,L1,NCG,Match,yes,yes,1
8,S41R,Targ4,L1_NCG,L1,NCG,Source,no,no,1
9,S41R,Targ12,L1_NCG,L1,NCG,Match,yes,no,0
10,S41R,Targ8,L1_NCG,L1,NCG,Goal,no,no,1
11,S41R,Targ18,L1_NCG,L1,NCG,Match,yes,yes,1
12,S41R,Targ11,L1_NCG,L1,NCG,Goal,no,no,1
13,S41R,Targ14,L1_NCG,L1,NCG,Goal,no,no,1
14,S41R,Targ16,L1_NCG,L1,NCG,Source,no,yes,0
15,S41R,Targ1,L1_NCG,L1,NCG,Source,no,no,1
16,S41R,Targ9,L1_NCG,L1,NCG,Match,yes,yes,1
17,S41R,Targ3,L1_NCG,L1,NCG,Match,yes,yes,1
18,S41R,Targ10,L1_NCG,L1,NCG,Source,no,no,1
1,S42R,Targ13,L2_NCG,L2,NCG,Goal,no,no,1
2,S42R,Targ2,L2_NCG,L2,NCG,Match,yes,no,0
3,S42R,Targ17,L2_NCG,L2,NCG,Match,yes,yes,1
4,S42R,Targ7,L2_NCG,L2,NCG,Goal,no,no,1
5,S42R,Targ5,L2_NCG,L2,NCG,Match,yes,yes,1
6,S42R,Targ15,L2_NCG,L2,NCG,Source,no,no,1
7,S42R,Targ6,L2_NCG,L2,NCG,Source,no,no,1
8,S42R,Targ4,L2_NCG,L2,NCG,Goal,no,no,1
9,S42R,Targ12,L2_NCG,L2,NCG,Source,no,no,1
10,S42R,Targ8,L2_NCG,L2,NCG,Match,yes,yes,1
11,S42R,Targ18,L2_NCG,L2,NCG,Source,no,no,1
12,S42R,Targ11,L2_NCG,L2,NCG,Match,yes,yes,1
13,S42R,Targ14,L2_NCG,L2,NCG,Match,yes,yes,1
14,S42R,Targ16,L2_NCG,L2,NCG,Goal,no,no,1
15,S42R,Targ1,L2_NCG,L2,NCG,Goal,no,yes,0
16,S42R,Targ9,L2_NCG,L2,NCG,Source,no,yes,0
17,S42R,Targ3,L2_NCG,L2,NCG,Source,no,no,1
18,S42R,Targ10,L2_NCG,L2,NCG,Goal,no,no,1
1,S43R,Targ13,L3_NCG,L3,NCG,Match,yes,yes,1
2,S43R,Targ2,L3_NCG,L3,NCG,Source,no,yes,0
3,S43R,Targ17,L3_NCG,L3,NCG,Source,no,no,1
4,S43R,Targ7,L3_NCG,L3,NCG,Match,yes,yes,1
5,S43R,Targ5,L3_NCG,L3,NCG,Source,no,no,1
6,S43R,Targ15,L3_NCG,L3,NCG,Goal,no,no,1
7,S43R,Targ6,L3_NCG,L3,NCG,Goal,no,yes,0
8,S43R,Targ4,L3_NCG,L3,NCG,Match,yes,yes,1
9,S43R,Targ12,L3_NCG,L3,NCG,Goal,no,no,1
10,S43R,Targ8,L3_NCG,L3,NCG,Source,no,no,1
11,S43R,Targ18,L3_NCG,L3,NCG,Goal,no,yes,0
12,S43R,Targ11,L3_NCG,L3,NCG,Source,no,no,1
13,S43R,Targ14,L3_NCG,L3,NCG,Source,no,no,1
14,S43R,Targ16,L3_NCG,L3,NCG,Match,yes,no,0
15,S43R,Targ1,L3_NCG,L3,NCG,Match,yes,yes,1
16,S43R,Targ9,L3_NCG,L3,NCG,Goal,no,no,1
17,S43R,Targ3,L3_NCG,L3,NCG,Goal,no,no,1
18,S43R,Targ10,L3_NCG,L3,NCG,Match,yes,yes,1
1,S44R,Targ13,L1_CG,L1,CG,Source,no,yes,0
2,S44R,Targ2,L1_CG,L1,CG,Goal,no,no,1
3,S44R,Targ17,L1_CG,L1,CG,Goal,no,yes,0
4,S44R,Targ7,L1_CG,L1,CG,Source,no,yes,0
5,S44R,Targ5,L1_CG,L1,CG,Goal,no,yes,0
6,S44R,Targ15,L1_CG,L1,CG,Match,yes,yes,1
7,S44R,Targ6,L1_CG,L1,CG,Match,yes,yes,1
8,S44R,Targ4,L1_CG,L1,CG,Source,no,yes,0
9,S44R,Targ12,L1_CG,L1,CG,Match,yes,yes,1
10,S44R,Targ8,L1_CG,L1,CG,Goal,no,no,1
11,S44R,Targ18,L1_CG,L1,CG,Match,yes,yes,1
12,S44R,Targ11,L1_CG,L1,CG,Goal,no,no,1
13,S44R,Targ14,L1_CG,L1,CG,Goal,no,no,1
14,S44R,Targ16,L1_CG,L1,CG,Source,no,no,1
15,S44R,Targ1,L1_CG,L1,CG,Source,no,no,1
16,S44R,Targ9,L1_CG,L1,CG,Match,yes,yes,1
17,S44R,Targ3,L1_CG,L1,CG,Match,yes,yes,1
18,S44R,Targ10,L1_CG,L1,CG,Source,no,no,1
1,S45R,Targ13,L2_CG,L2,CG,Goal,no,no,1
2,S45R,Targ2,L2_CG,L2,CG,Match,yes,yes,1
3,S45R,Targ17,L2_CG,L2,CG,Match,yes,yes,1
4,S45R,Targ7,L2_CG,L2,CG,Goal,no,no,1
5,S45R,Targ5,L2_CG,L2,CG,Match,yes,yes,1
6,S45R,Targ15,L2_CG,L2,CG,Source,no,no,1
7,S45R,Targ6,L2_CG,L2,CG,Source,no,no,1
8,S45R,Targ4,L2_CG,L2,CG,Goal,no,no,1
9,S45R,Targ12,L2_CG,L2,CG,Source,no,no,1
10,S45R,Targ8,L2_CG,L2,CG,Match,yes,yes,1
11,S45R,Targ18,L2_CG,L2,CG,Source,no,no,1
12,S45R,Targ11,L2_CG,L2,CG,Match,yes,yes,1
13,S45R,Targ14,L2_CG,L2,CG,Match,yes,no,0
14,S45R,Targ16,L2_CG,L2,CG,Goal,no,no,1
15,S45R,Targ1,L2_CG,L2,CG,Goal,no,no,1
16,S45R,Targ9,L2_CG,L2,CG,Source,no,no,1
17,S45R,Targ3,L2_CG,L2,CG,Source,no,no,1
18,S45R,Targ10,L2_CG,L2,CG,Goal,no,no,1
1,S46R,Targ13,L2_CG,L2,CG,Goal,no,no,1
2,S46R,Targ2,L2_CG,L2,CG,Match,yes,yes,1
3,S46R,Targ17,L2_CG,L2,CG,Match,yes,yes,1
4,S46R,Targ7,L2_CG,L2,CG,Goal,no,no,1
5,S46R,Targ5,L2_CG,L2,CG,Match,yes,yes,1
6,S46R,Targ15,L2_CG,L2,CG,Source,no,no,1
7,S46R,Targ6,L2_CG,L2,CG,Source,no,yes,0
8,S46R,Targ4,L2_CG,L2,CG,Goal,no,no,1
9,S46R,Targ12,L2_CG,L2,CG,Source,no,no,1
10,S46R,Targ8,L2_CG,L2,CG,Match,yes,yes,1
11,S46R,Targ18,L2_CG,L2,CG,Source,no,no,1
12,S46R,Targ11,L2_CG,L2,CG,Match,yes,yes,1
13,S46R,Targ14,L2_CG,L2,CG,Match,yes,yes,1
14,S46R,Targ16,L2_CG,L2,CG,Goal,no,no,1
15,S46R,Targ1,L2_CG,L2,CG,Goal,no,yes,0
16,S46R,Targ9,L2_CG,L2,CG,Source,no,yes,0
17,S46R,Targ3,L2_CG,L2,CG,Source,no,no,1
18,S46R,Targ10,L2_CG,L2,CG,Goal,no,no,1
1,S47R,Targ13,L3_CG,L3,CG,Match,yes,yes,1
2,S47R,Targ2,L3_CG,L3,CG,Source,no,yes,0
3,S47R,Targ17,L3_CG,L3,CG,Source,no,yes,0
4,S47R,Targ7,L3_CG,L3,CG,Match,yes,yes,1
5,S47R,Targ5,L3_CG,L3,CG,Source,no,no,1
6,S47R,Targ15,L3_CG,L3,CG,Goal,no,no,1
7,S47R,Targ6,L3_CG,L3,CG,Goal,no,yes,0
8,S47R,Targ4,L3_CG,L3,CG,Match,yes,yes,1
9,S47R,Targ12,L3_CG,L3,CG,Goal,no,no,1
10,S47R,Targ8,L3_CG,L3,CG,Source,no,no,1
11,S47R,Targ18,L3_CG,L3,CG,Goal,no,no,1
12,S47R,Targ11,L3_CG,L3,CG,Source,no,no,1
13,S47R,Targ14,L3_CG,L3,CG,Source,no,no,1
14,S47R,Targ16,L3_CG,L3,CG,Match,yes,yes,1
15,S47R,Targ1,L3_CG,L3,CG,Match,yes,yes,1
16,S47R,Targ9,L3_CG,L3,CG,Goal,no,yes,0
17,S47R,Targ3,L3_CG,L3,CG,Goal,no,no,1
18,S47R,Targ10,L3_CG,L3,CG,Match,yes,yes,1
1,S48R,Targ13,L1_NCG,L1,NCG,Source,no,yes,0
2,S48R,Targ2,L1_NCG,L1,NCG,Goal,no,yes,0
3,S48R,Targ17,L1_NCG,L1,NCG,Goal,no,yes,0
4,S48R,Targ7,L1_NCG,L1,NCG,Source,no,yes,0
5,S48R,Targ5,L1_NCG,L1,NCG,Goal,no,yes,0
6,S48R,Targ15,L1_NCG,L1,NCG,Match,yes,yes,1
7,S48R,Targ6,L1_NCG,L1,NCG,Match,yes,yes,1
8,S48R,Targ4,L1_NCG,L1,NCG,Source,no,yes,0
9,S48R,Targ12,L1_NCG,L1,NCG,Match,yes,yes,1
10,S48R,Targ8,L1_NCG,L1,NCG,Goal,no,no,1
11,S48R,Targ18,L1_NCG,L1,NCG,Match,yes,yes,1
12,S48R,Targ11,L1_NCG,L1,NCG,Goal,no,no,1
13,S48R,Targ14,L1_NCG,L1,NCG,Goal,no,no,1
14,S48R,Targ16,L1_NCG,L1,NCG,Source,no,no,1
15,S48R,Targ1,L1_NCG,L1,NCG,Source,no,no,1
16,S48R,Targ9,L1_NCG,L1,NCG,Match,yes,yes,1
17,S48R,Targ3,L1_NCG,L1,NCG,Match,yes,yes,1
18,S48R,Targ10,L1_NCG,L1,NCG,Source,no,no,1
1,S49R,Targ13,L2_NCG,L2,NCG,Goal,no,no,1
2,S49R,Targ2,L2_NCG,L2,NCG,Match,yes,yes,1
3,S49R,Targ17,L2_NCG,L2,NCG,Match,yes,yes,1
4,S49R,Targ7,L2_NCG,L2,NCG,Goal,no,no,1
5,S49R,Targ5,L2_NCG,L2,NCG,Match,yes,yes,1
6,S49R,Targ15,L2_NCG,L2,NCG,Source,no,no,1
7,S49R,Targ6,L2_NCG,L2,NCG,Source,no,yes,0
8,S49R,Targ4,L2_NCG,L2,NCG,Goal,no,no,1
9,S49R,Targ12,L2_NCG,L2,NCG,Source,no,no,1
10,S49R,Targ8,L2_NCG,L2,NCG,Match,yes,yes,1
11,S49R,Targ18,L2_NCG,L2,NCG,Source,no,yes,0
12,S49R,Targ11,L2_NCG,L2,NCG,Match,yes,yes,1
13,S49R,Targ14,L2_NCG,L2,NCG,Match,yes,no,0
14,S49R,Targ16,L2_NCG,L2,NCG,Goal,no,yes,0
15,S49R,Targ1,L2_NCG,L2,NCG,Goal,no,no,1
16,S49R,Targ9,L2_NCG,L2,NCG,Source,no,no,1
17,S49R,Targ3,L2_NCG,L2,NCG,Source,no,no,1
18,S49R,Targ10,L2_NCG,L2,NCG,Goal,no,no,1
1,S50R,Targ13,L3_NCG,L3,NCG,Match,yes,yes,1
2,S50R,Targ2,L3_NCG,L3,NCG,Source,no,yes,0
3,S50R,Targ17,L3_NCG,L3,NCG,Source,no,yes,0
4,S50R,Targ7,L3_NCG,L3,NCG,Match,yes,yes,1
5,S50R,Targ5,L3_NCG,L3,NCG,Source,no,yes,0
6,S50R,Targ15,L3_NCG,L3,NCG,Goal,no,no,1
7,S50R,Targ6,L3_NCG,L3,NCG,Goal,no,yes,0
8,S50R,Targ4,L3_NCG,L3,NCG,Match,yes,yes,1
9,S50R,Targ12,L3_NCG,L3,NCG,Goal,no,no,1
10,S50R,Targ8,L3_NCG,L3,NCG,Source,no,no,1
11,S50R,Targ18,L3_NCG,L3,NCG,Goal,no,no,1
12,S50R,Targ11,L3_NCG,L3,NCG,Source,no,no,1
13,S50R,Targ14,L3_NCG,L3,NCG,Source,no,no,1
14,S50R,Targ16,L3_NCG,L3,NCG,Match,yes,yes,1
15,S50R,Targ1,L3_NCG,L3,NCG,Match,yes,yes,1
16,S50R,Targ9,L3_NCG,L3,NCG,Goal,no,yes,0
17,S50R,Targ3,L3_NCG,L3,NCG,Goal,no,no,1
18,S50R,Targ10,L3_NCG,L3,NCG,Match,yes,yes,1
1,S51R,Targ13,L1_CG,L1,CG,Source,no,no,1
2,S51R,Targ2,L1_CG,L1,CG,Goal,no,no,1
3,S51R,Targ17,L1_CG,L1,CG,Goal,no,yes,0
4,S51R,Targ7,L1_CG,L1,CG,Source,no,yes,0
5,S51R,Targ5,L1_CG,L1,CG,Goal,no,yes,0
6,S51R,Targ15,L1_CG,L1,CG,Match,yes,yes,1
7,S51R,Targ6,L1_CG,L1,CG,Match,yes,yes,1
8,S51R,Targ4,L1_CG,L1,CG,Source,no,yes,0
9,S51R,Targ12,L1_CG,L1,CG,Match,yes,yes,1
10,S51R,Targ8,L1_CG,L1,CG,Goal,no,no,1
11,S51R,Targ18,L1_CG,L1,CG,Match,yes,yes,1
12,S51R,Targ11,L1_CG,L1,CG,Goal,no,no,1
13,S51R,Targ14,L1_CG,L1,CG,Goal,no,no,1
14,S51R,Targ16,L1_CG,L1,CG,Source,no,no,1
15,S51R,Targ1,L1_CG,L1,CG,Source,no,yes,0
16,S51R,Targ9,L1_CG,L1,CG,Match,yes,yes,1
17,S51R,Targ3,L1_CG,L1,CG,Match,yes,yes,1
18,S51R,Targ10,L1_CG,L1,CG,Source,no,no,1
1,S52R,Targ13,L3_CG,L3,CG,Match,yes,yes,1
2,S52R,Targ2,L3_CG,L3,CG,Source,no,yes,0
3,S52R,Targ17,L3_CG,L3,CG,Source,no,yes,0
4,S52R,Targ7,L3_CG,L3,CG,Match,yes,yes,1
5,S52R,Targ5,L3_CG,L3,CG,Source,no,yes,0
6,S52R,Targ15,L3_CG,L3,CG,Goal,no,no,1
7,S52R,Targ6,L3_CG,L3,CG,Goal,no,yes,0
8,S52R,Targ4,L3_CG,L3,CG,Match,yes,yes,1
9,S52R,Targ12,L3_CG,L3,CG,Goal,no,yes,0
10,S52R,Targ8,L3_CG,L3,CG,Source,no,no,1
11,S52R,Targ18,L3_CG,L3,CG,Goal,no,no,1
12,S52R,Targ11,L3_CG,L3,CG,Source,no,no,1
13,S52R,Targ14,L3_CG,L3,CG,Source,no,no,1
14,S52R,Targ16,L3_CG,L3,CG,Match,yes,yes,1
15,S52R,Targ1,L3_CG,L3,CG,Match,yes,yes,1
16,S52R,Targ9,L3_CG,L3,CG,Goal,no,yes,0
17,S52R,Targ3,L3_CG,L3,CG,Goal,no,no,1
18,S52R,Targ10,L3_CG,L3,CG,Match,yes,yes,1
1,S53R,Targ13,L2_NCG,L2,NCG,Goal,no,yes,0
2,S53R,Targ2,L2_NCG,L2,NCG,Match,yes,yes,1
3,S53R,Targ17,L2_NCG,L2,NCG,Match,yes,yes,1
4,S53R,Targ7,L2_NCG,L2,NCG,Goal,no,no,1
5,S53R,Targ5,L2_NCG,L2,NCG,Match,yes,no,0
6,S53R,Targ15,L2_NCG,L2,NCG,Source,no,no,1
7,S53R,Targ6,L2_NCG,L2,NCG,Source,no,no,1
8,S53R,Targ4,L2_NCG,L2,NCG,Goal,no,no,1
9,S53R,Targ12,L2_NCG,L2,NCG,Source,no,no,1
10,S53R,Targ8,L2_NCG,L2,NCG,Match,yes,yes,1
11,S53R,Targ18,L2_NCG,L2,NCG,Source,no,no,1
12,S53R,Targ11,L2_NCG,L2,NCG,Match,yes,yes,1
13,S53R,Targ14,L2_NCG,L2,NCG,Match,yes,yes,1
14,S53R,Targ16,L2_NCG,L2,NCG,Goal,no,no,1
15,S53R,Targ1,L2_NCG,L2,NCG,Goal,no,no,1
16,S53R,Targ9,L2_NCG,L2,NCG,Source,no,yes,0
17,S53R,Targ3,L2_NCG,L2,NCG,Source,no,no,1
18,S53R,Targ10,L2_NCG,L2,NCG,Goal,no,no,1
1,S54R,Targ13,L3_CG,L3,CG,Match,yes,yes,1
2,S54R,Targ2,L3_CG,L3,CG,Source,no,no,1
3,S54R,Targ17,L3_CG,L3,CG,Source,no,no,1
4,S54R,Targ7,L3_CG,L3,CG,Match,yes,yes,1
5,S54R,Targ5,L3_CG,L3,CG,Source,no,no,1
6,S54R,Targ15,L3_CG,L3,CG,Goal,no,no,1
7,S54R,Targ6,L3_CG,L3,CG,Goal,no,no,1
8,S54R,Targ4,L3_CG,L3,CG,Match,yes,yes,1
9,S54R,Targ12,L3_CG,L3,CG,Goal,no,no,1
10,S54R,Targ8,L3_CG,L3,CG,Source,no,yes,0
11,S54R,Targ18,L3_CG,L3,CG,Goal,no,no,1
12,S54R,Targ11,L3_CG,L3,CG,Source,no,no,1
13,S54R,Targ14,L3_CG,L3,CG,Source,no,no,1
14,S54R,Targ16,L3_CG,L3,CG,Match,yes,no,0
15,S54R,Targ1,L3_CG,L3,CG,Match,yes,yes,1
16,S54R,Targ9,L3_CG,L3,CG,Goal,no,yes,0
17,S54R,Targ3,L3_CG,L3,CG,Goal,no,no,1
18,S54R,Targ10,L3_CG,L3,CG,Match,yes,yes,1
1,S55R,Targ13,L3_NCG,L3,NCG,Match,yes,yes,1
2,S55R,Targ2,L3_NCG,L3,NCG,Source,no,yes,0
3,S55R,Targ17,L3_NCG,L3,NCG,Source,no,yes,0
4,S55R,Targ7,L3_NCG,L3,NCG,Match,yes,yes,1
5,S55R,Targ5,L3_NCG,L3,NCG,Source,no,yes,0
6,S55R,Targ15,L3_NCG,L3,NCG,Goal,no,no,1
7,S55R,Targ6,L3_NCG,L3,NCG,Goal,no,yes,0
8,S55R,Targ4,L3_NCG,L3,NCG,Match,yes,no,0
9,S55R,Targ12,L3_NCG,L3,NCG,Goal,no,no,1
10,S55R,Targ8,L3_NCG,L3,NCG,Source,no,no,1
11,S55R,Targ18,L3_NCG,L3,NCG,Goal,no,no,1
12,S55R,Targ11,L3_NCG,L3,NCG,Source,no,no,1
13,S55R,Targ14,L3_NCG,L3,NCG,Source,no,no,1
14,S55R,Targ16,L3_NCG,L3,NCG,Match,yes,yes,1
15,S55R,Targ1,L3_NCG,L3,NCG,Match,yes,yes,1
16,S55R,Targ9,L3_NCG,L3,NCG,Goal,no,no,1
17,S55R,Targ3,L3_NCG,L3,NCG,Goal,no,yes,0
18,S55R,Targ10,L3_NCG,L3,NCG,Match,yes,yes,1
1,S56R,Targ13,L1_NCG,L1,NCG,Source,no,yes,0
2,S56R,Targ2,L1_NCG,L1,NCG,Goal,no,no,1
3,S56R,Targ17,L1_NCG,L1,NCG,Goal,no,yes,0
4,S56R,Targ7,L1_NCG,L1,NCG,Source,no,yes,0
5,S56R,Targ5,L1_NCG,L1,NCG,Goal,no,yes,0
6,S56R,Targ15,L1_NCG,L1,NCG,Match,yes,yes,1
7,S56R,Targ6,L1_NCG,L1,NCG,Match,yes,yes,1
8,S56R,Targ4,L1_NCG,L1,NCG,Source,no,yes,0
9,S56R,Targ12,L1_NCG,L1,NCG,Match,yes,no,0
10,S56R,Targ8,L1_NCG,L1,NCG,Goal,no,no,1
11,S56R,Targ18,L1_NCG,L1,NCG,Match,yes,yes,1
12,S56R,Targ11,L1_NCG,L1,NCG,Goal,no,no,1
13,S56R,Targ14,L1_NCG,L1,NCG,Goal,no,no,1
14,S56R,Targ16,L1_NCG,L1,NCG,Source,no,yes,0
15,S56R,Targ1,L1_NCG,L1,NCG,Source,no,yes,0
16,S56R,Targ9,L1_NCG,L1,NCG,Match,yes,yes,1
17,S56R,Targ3,L1_NCG,L1,NCG,Match,yes,yes,1
18,S56R,Targ10,L1_NCG,L1,NCG,Source,no,no,1
1,S58R,Targ13,L2_NCG,L2,NCG,Goal,no,no,1
2,S58R,Targ2,L2_NCG,L2,NCG,Match,yes,yes,1
3,S58R,Targ17,L2_NCG,L2,NCG,Match,yes,yes,1
4,S58R,Targ7,L2_NCG,L2,NCG,Goal,no,yes,0
5,S58R,Targ5,L2_NCG,L2,NCG,Match,yes,no,0
6,S58R,Targ15,L2_NCG,L2,NCG,Source,no,no,1
7,S58R,Targ6,L2_NCG,L2,NCG,Source,no,yes,0
8,S58R,Targ4,L2_NCG,L2,NCG,Goal,no,yes,0
9,S58R,Targ12,L2_NCG,L2,NCG,Source,no,no,1
10,S58R,Targ8,L2_NCG,L2,NCG,Match,yes,no,0
11,S58R,Targ18,L2_NCG,L2,NCG,Source,no,yes,0
12,S58R,Targ11,L2_NCG,L2,NCG,Match,yes,yes,1
13,S58R,Targ14,L2_NCG,L2,NCG,Match,yes,yes,1
14,S58R,Targ16,L2_NCG,L2,NCG,Goal,no,no,1
15,S58R,Targ1,L2_NCG,L2,NCG,Goal,no,yes,0
16,S58R,Targ9,L2_NCG,L2,NCG,Source,no,yes,0
17,S58R,Targ3,L2_NCG,L2,NCG,Source,no,no,1
18,S58R,Targ10,L2_NCG,L2,NCG,Goal,no,no,1
1,S59R,Targ13,L1_CG,L1,CG,Source,no,yes,0
2,S59R,Targ2,L1_CG,L1,CG,Goal,no,yes,0
3,S59R,Targ17,L1_CG,L1,CG,Goal,no,yes,0
4,S59R,Targ7,L1_CG,L1,CG,Source,no,no,1
5,S59R,Targ5,L1_CG,L1,CG,Goal,no,no,1
6,S59R,Targ15,L1_CG,L1,CG,Match,yes,yes,1
7,S59R,Targ6,L1_CG,L1,CG,Match,yes,yes,1
8,S59R,Targ4,L1_CG,L1,CG,Source,no,no,1
9,S59R,Targ12,L1_CG,L1,CG,Match,yes,yes,1
10,S59R,Targ8,L1_CG,L1,CG,Goal,no,no,1
11,S59R,Targ18,L1_CG,L1,CG,Match,yes,yes,1
12,S59R,Targ11,L1_CG,L1,CG,Goal,no,no,1
13,S59R,Targ14,L1_CG,L1,CG,Goal,no,no,1
14,S59R,Targ16,L1_CG,L1,CG,Source,no,yes,0
15,S59R,Targ1,L1_CG,L1,CG,Source,no,no,1
16,S59R,Targ9,L1_CG,L1,CG,Match,yes,yes,1
17,S59R,Targ3,L1_CG,L1,CG,Match,yes,yes,1
18,S59R,Targ10,L1_CG,L1,CG,Source,no,no,1