SubjID,ListNumb,ConditionID,TargID,Transcriber Initials,Transcription,TranscriptionNotes,NamingError,SceneSetting,SourceMention,SourceMenFrame,GoalMention,GoalMenFrame,MentionOrder,MannerofMotion,CodingNotes,CoderInitials
S1,L1,NCG_A,Targ1,CAP,"alright okay...so this looks like it's in a little pond um...in the bottom...there's...um...I think it's like the lotus flower or lilly flower that has little...uh...ittle frog pads on it,...he green little frog pads that they can just kinda like take a nap on...uhm and then on the other side...you can see like the edge of the water...and there's just kinda like grass with a tree stump on it and the frog just...there's oh...there's a frog  uhm that starts on the lilly pad and he makes like this big ole jump and lands on the tree stump like 500 feet away it seems like.",,n,y,y,on-pp,y,on-pp,source-goal,conjoined,starts on + lands on,MLD
S1,L1,NCG_A,Targ2,CAP,okay alright...so this is uh like a farmhouse kinda scene...uhm...there's like...the grass...and then...you have the sky there's a little fence at the bottom left...and there's a horse that starts out there...and he uhm kinda like trots all the way up...and there's a  little farmhouse right there...and he goes right next to it ,,n,y,y,other,y,other,source-goal,trots,,MLD
S1,L1,NCG_A,Targ3,CAP,okay uhm...so this one's just like the grass and the sky again and there's a little dog house...like a little red dog house...uhm...and it has a little waterbowl outside...uhm it's kinda like...it looks to be resting like on  like a bunch of like fluffy grass and then on the other side...there's this...there's a tree...but it looks like a really small tree like a really like minuture tree...and there's a cute little puppy that goes from the dog house all the way next to the tree...and I'm assuming he's gunna pee on it but he just kind of like sits there.,,n,y,y,from-pp,y,to-pp,source-goal,goes,,MLD
S1,L1,NCG_A,Targ4,CAP,alright okay...uh this one looks like it's some kind of like little forest...there's just the grass...the sky...there's uhm like a purple little flower on one side and then on the other side there's this big tree all you can see is one little branch off of it...and...from that branch there's a little uhm like the...the bees nest that's hanging down from it...but it doesn't really look scary or anthing there's just a bunch of like little bees flying around...and then there's this one like gigantic bee that starts at the...at the flower and then he flies all the way up to his little friend.,,n,y,y,at-pp,y,to-part,source-goal,flies,,MLD
S1,L1,NCG_A,Targ5,CAP,alright so this one's outside...it looks like it could be somewhere in the south...uhm...there's a little lantern...like all the way up it looks kinda fancy...and then on the other side there's kind of like a deck with a chair in it nobody is sitting in the chair...but the chair's just kinda there...and there's a butterfly that goes from the lantern and then just sets on the chair,,n,y,y,from-pp,y,on-pp,source-goal,goes,,MLD
S1,L1,NCG_A,Targ6,CAP,Okay alright so this one is like uh like a fairytal kinda thing...uhm it's just grass and then you have the sky....and...at the bottom there's like this castle like this big ole castle...uum it doesn't seem to have like a little water around it or anything...so it's just this castle...you can't really see a door you can only see a couple of windows uhm it looks pretty far...and at the top there's like a...there's like a rainbow with little clouds in it...and there's a fairy...uhm it looks like a little fairy godmother like she has the wings...she's blonde...and she's holding the little star...oh the little wand...and she just flies I guess from the castle to the rainbow.,,n,y,y,from-pp,y,to-pp,source-goal,flies,,MLD
S1,L1,NCG_A,Targ7,CAP,alright so this goes between two rooms...in one room there's...uh kinda like a bookcase...in the other room there's a stove...and there's a kid...uhm I'd say a teenager like he walks from the room with the stove into the room with the books and just [kinda stands there],,n,y,y,from-pp,y,into-pp,source-goal,walks,doesn't use bookshelf/stove as landmarks - room with XXX room with YYY,MLD
S1,L1,NCG_A,Targ8,CAP,okay so this one is kinda like set at night...uhm you can mostly see like the like the dark sky...and there's a moon like a big ole moon on one corner...and in the other opposite corner there's...a...like a house...uhm... I can't really tell what kinda house it is because it looks...weir...like...it looks like a weird architecture to be...apartment? It just looks like something you would see in like the cartoons...like um there's a witch and like she's on the broom...but it's like an ugly witch it's not like one of the pretty witches and she just like flies like from the from the moon all the way down to the...to the house and just like stops there.,,n,y,y,from-pp,y,to-part,source-goal,flies,,MLD
S1,L1,NCG_A,Targ9,CAP,okay uuuum...this one...looks...I can't really tell where it is because it kinda looks like a desert but it also kinda looks like uuuh somehwere in like Australia or something...uhm...so it has like the sky and then there's I think I think they're mountains and I think it's just like the angle of the sun that like they look kinda like darker colored...uhm so there's like the mountains and then at the bottom left uhm there's this kinda like little tree but it's weird because it has purple on it er not a tree but like a little bush...uhm...but like it also has like some purple dots on it...and there's a snake that starts out at that little bush and then goes all the way to the other side of the screen where there's a rock...and he just kinda chills like right next to the rock.,,n,y,y,other-part,y,other,source-goal,goes,desribes motion as 2 utterances 'starts out at....' and then describes endpoint with 'where' rc,MLD
S1,L1,NCG_A,Targ10,CAP,okay uuhm...so...again it's like the grass and the sky and this time there's a tent...that's like it's already pitched and like it's on the on the floor...nobody's really in it...uhm...and then on the other side it looks it looks like a powerline but you dont see any of the actual electricity lines it's just like the like the uhm brown thingy uhm and the it has like the the little yellow like triangle on it that can make you tell that it's a powerline...and there's a pi...I think it's a pigeon...uhm and it goes from like the tent like it was at the top of the tent...and then it flies all the way to the top of the poweline.,,y,y,y,of-pp,y,of-pp,source-goal,flies,,MLD
S1,L1,NCG_A,Targ11,RNR,okay so this is in space um... there's only one planet on it I'm pretty sure it's Jupiter um there's no little stars or anything it's just black um... but then on the other side there's-- I think it's like a space base or something like where the rocketships like take off from... um and it's like-- like one of those 'Y' thingies like in-- like in Gravity or something um... and there's no people you can't really tell but there's a little spaceship like a-- like a random yellow spaceship that kind of um like lifts off from the space base and goes to Jupiter and it just kind of stays there like it landed on the surface of Jupiter,,n,y,y,from-pp,y,to-pp,source-goal,goes,,MLD
S1,L1,NCG_A,Targ12,RNR,sooo... in this one um it's underwater you can see like a little bit of sand and you can see the the water ... um it looks like there was some kind of shipwreck like the ship is just kind of like in pieces um...... you can't really see any people you can just see a bunch of like weird objects that I can't really tell what they are but um some kind of little shipwreck like on that side and i guess a submarine comes from there and then it uh... it swims all the way to the other side where there's a little cave there's like this little like rock cave and um you can't see what's inside it but can you-- like the submarine like swims right next to it,,n,y,y,other,y,other,source-goal,swims,desribes motion as 2 utterances 'starts out at....' and then describes endpoint with 'where' rc,MLD
S1,L1,NCG_A,Targ13,RNR,okay so in this scene it looks like a room in a house um the walls are pink floor is pink um different shades though and there's a crib for a little baby and on the opposite side of the room there's a couch um with some pillows on it and the crib um it looks like the baby likes little starships and um fantasy stuff but she got outside the crib-- or she was already outside the crib and then she went like extremely fast to the sofa,,n,y,y,other-part,y,to-pp,source-goal,goes,,MLD
S1,L1,NCG_A,Targ14,RNR,okay um...... so this one uh there's like there's roads-- like there's grey road and then there's the sky um...... the sky just has like some clouds in it and there's two little houses... um it looks like really like not to scale but there's this car um it's a red car it looks kind of like the like the old time cars um it has the hood up and it goes from one side of the screen where there's like this orange little house-- it's just looks like a house that someone lives in and it goes all the way to the other side of the screen where there's like a store and you can see little fruits and vegetables in the front of the store so i'm assunming it's a grocery store and the car just parks there but nobody gets out,,n,y,y,from-pp,y,to-pp,source-goal,goes,"uses the screen as landmarks, but describes objects in 'where' rc",MLD
S1,L1,NCG_A,Targ15,RNR,alright so this one um looks like it's out of like like snow white or something there's a little basket with like all these red apples on the bottom and it's like a scene that has the grass and the sky and... all the way on the other side there's kind of like a like a water well like the ones you have to like dip your bucket in and nobody's in it just a little bunny that like hops from the-- from the apples  all the way to the water well,,n,y,y,from-pp,y,to-pp,source-goal,hops,,MLD
S1,L1,NCG_A,Targ16,RNR,okay... so this one is just kind of set on the roof of a house um you can see the little sky behind it but... um like on the roof of the house you can tell that there's a little ladder that's like pushed up against it um... it's just like a regular ladder you can see a couple of windows and there's a robber that he started out at the top of the ladder and then he kind of like does a little tiptoe thing all the way to the-- to the chimney and he has like the little mask on he has a tat-- like a skull tattoo and his like-- his shirt you can see like his fat little stomach and he just tiptoes all the way to the chimney but he doesn't actually go in it,,n,y,y,at-pp,y,to-pp,source-goal,tip-toes,,MLD
S1,L1,NCG_A,Targ17,RNR,okay um there's like a room i guess it's kind of a kitchen the only thing there is a fridge anddd... a trash can but the trash can is like disgusting like there's stuff like *laugh* it's just like overflowing with garbage and it looks like old food and there's this lady and *laugh* oh i think it actually might be a restaurant because she's wearing a little-- little restaurant outfit um she's throwing away some trash,,n,y,n,,n,,none,throws,does not describe as a change of location event; throwing away trash,MLD
S1,L1,NCG_A,Targ18,RNR,okay um this is like a little park but the only thing there is there's a bench on what looks to be the middle of the sidewalk and then there's um... a slide all the way up in the other corner and it's just that um... but there's a rat that kind of goes from like under the slide all the way to under the-- the bench,,n,y,y,from-part,y,from-part,source-goal,goes,,MLD
S2,L2,NCG_A,Targ1,RNR,um there's a tree trunk on the right hand side of the screen and a frog jumps from that tree trunk to a lily pad in the pond,,n,y,y,from-pp,y,to-pp,source-goal,jumps,,NER
S2,L2,NCG_A,Targ2,RNR,um so there's a brown horse at... a red barn and he runs towards the fence... which is brownish colored... and the grass is green,,n,y,y,other,y,towards-pp,source-goal,runs,,NER
S2,L2,NCG_A,Targ3,RNR,uh y- okay so the background is just some grass and a blue sky and then there's a tree on the right side of the screen just like a regular looking tree and a dog runs from that tree to um a red barn or like a red dog house i think it's-- it's his dog house and there's um... also like a bowl of food in front of that dog house... and the dog house is red and th- the the dog is brown,,n,y,y,from-pp,y,to-pp,source-goal,runs,,NER
S2,L2,NCG_A,Targ4,RNR,okay so this is a picture of just like... a normal like blue sky and then green grass and then there's like a beehive on the... on the right hanging from a tree branch and the bee flies from the beehive to the flower on the-- to the purple looking-- lavender looking flower on the left side of the screen...... um,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ5,CAP,            ,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ6,CAP,uhm so there's a lake...there's a crocodile on the left side of the lake...and a...rhino-asourous...uhm it's some type of rhinoserous looking creature on the...right side of the screen...and there's a flamingo in front of the crocodile...and the flamingo is like jumping up and down...and the crocodile is like greenish blue-ish...the flamingo's pink...yea,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ7,CAP,so there's a bookshelf on the..left hand side of the screen and an oven...or a stove on the right hand side of the screen...andu hm this young boy is walking....from the bookshelf to the stove...uhm...and they're like in different rooms too...like the bookcase and the stove.,over/stove,n,y,y,from-pp,y,to-pp,source-goal,walks,,NER
S2,L2,NCG_A,Targ8,CAP,uhm...so this looks like it's at night...uhm so there's like a darkish blueish sky and then like a maroon colored floor...uhm...there's a moon on the right hand side of the screen and the witch flies...a witch on a broom stick flies from the moon to a...haun...like a haunted looking house...uh it's like a grey house with green shelves...with green roofs...[?]...and there's tan windows...yea,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ9,CAP,uhm I'm not...mmm the background uhm...so the the background I think is a swamp...there's like some...some muddy looking swamp thing...and then there's like some big rocks in the background... and then there's like a...a smaller grey rock on the right-hand side of the screen and a snake moves from that gray rock to...uhm...a plant looking thing on the left-hand side of screen...and it's like bushy...it has like pink uhm specks on on...yea it's like bushy so it's green but then it has like pink specs...scattered around the bush or scattered around the leaf area,,n,y,y,from-pp,y,to-pp,source-goal,moves,uses demonstrative pronoun after scene setting to talk about source,NER
S2,L2,NCG_A,Targ10,RNR,okay so the background is just like blue sky green grass and then i don't-- i don't really know what they're called but like when you're like driving on the highway and you see like all those like electricityyy things like... like there's like it like looks like that and there's like lines in between each pole...... not the wires but like the-- the stands themselves that connect the wires...... yeah so... it's like that thing on the right side of the screen... um and then a green tent on the left side and the bird flies from... that electric stand looking thing to the green tent yeah,"can't remember ""telephone pole"" ",y,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ11,CAP,so the background of this picture is space and uhm...but a rocket ship comes from...i think it might be like  a space station yea...a space station...on the top...and the rocket comes from that to a planet on the more left screen...and the rocket is like...yellow red and orange...and the planet is like...pinkish,unsure of word satellite/ space station,y,y,y,from-pp,y,to-pp,source-goal,comes,,NER
S2,L2,NCG_A,Targ12,,,,n,y,y,from-pp,y,over-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ13,,,,n,n,y,from-pp,y,towards-pp,goal-source,crawls,,NER
S2,L2,NCG_A,Targ14,,,,n,y,y,from-pp,y,to-pp,source-goal,moves,,NER
S2,L2,NCG_A,Targ15,,,,n,y,y,from-pp,y,to-pp,source-goal,moves,,NER
S2,L2,NCG_A,Targ16,,,,n,y,y,from-pp,y,to-pp,source-goal,goes,,NER
S2,L2,NCG_A,Targ17,,,,n,y,y,from-pp,y,to-pp,source-goal,walks,,NER
S2,L2,NCG_A,Targ18,,,not sure what the background is,y,y,y,from-pp,y,to-pp,source-goal,moves,,NER
S3,L3,NCG_A,Targ1,,,,n,n,y,from-part,y,onto-pp,source-goal,conjoined,conjoined; jumps up from....and onto,MLD
S3,L3,NCG_A,Targ2,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,MLD
S3,L3,NCG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,conjoined,conjoined; runs from...and to ,MLD
S3,L3,NCG_A,Targ4,,,,n,n,y,from-pp,y,to-pp,source-goal,travels,back-to' return event,MLD
S3,L3,NCG_A,Targ5,,,,n,n,y,at-pp,y,to-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ6,,,,n,n,y,from-part,y,to-part,source-goal,flies,,MLD
S3,L3,NCG_A,Targ7,,,,n,n,y,from-pp,y,into-pp,source-goal,walks,"doesn't usestove as landmarks - into a kitchen, where there is...",MLD
S3,L3,NCG_A,Targ8,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ9,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S3,L3,NCG_A,Targ10,,,,n,n,y,from-pp,y,onto-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ11,,,,n,n,y,from-pp,y,onto-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ12,,,,n,n,y,from-part,y,v-np,source-goal,approaches,,MLD
S3,L3,NCG_A,Targ13,,,,n,n,y,from-pp,y,to-pp,source-goal,crawls,,MLD
S3,L3,NCG_A,Targ14,,,,n,n,y,from-part,y,to-pp,source-goal,drives,,MLD
S3,L3,NCG_A,Targ15,,,,n,n,y,from-pp,y,to-pp,source-goal,hops,,MLD
S3,L3,NCG_A,Targ16,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S3,L3,NCG_A,Targ17,,,,n,n,y,from-pp,y,to-pp,source-goal,brings,"doesn't totally use fridge as landmark, just says close to refridgerator",MLD
S3,L3,NCG_A,Targ18,,,forgot word for 'bench',y,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S4,L1,CG_A,Targ1,,,,n,n,n,,y,onto-pp,goal only,hops,,MLD
S4,L1,CG_A,Targ2,,,,n,n,n,,y,towards-pp,goal only,gallops,,MLD
S4,L1,CG_A,Targ3,,,,n,n,n,,y,towards-pp,goal only,jumps,,MLD
S4,L1,CG_A,Targ4,,,,n,n,n,,y,towards-pp,goal only,flies,,MLD
S4,L1,CG_A,Targ5,,,,n,n,y,from-pp,y,towards-pp,source-goal,goes,further describes where the butterfly lands on the chair,MLD
S4,L1,CG_A,Targ6,,,,n,n,n,,y,towards-pp,goal only,moves,,MLD
S4,L1,CG_A,Targ7,,,,n,n,n,,y,towards-pp,goal only,walks,,MLD
S4,L1,CG_A,Targ8,,,,n,n,y,from-pp,y,towards-pp,source-goal,flies,,MLD
S4,L1,CG_A,Targ9,,,,n,n,n,,y,to-pp,goal only,slithers,,MLD
